UNITID,STAT_AL,PRCH_AL,IDX_AL,LCOLELYN,LPBOOKS,LEBOOKS,LPMEDIA,LPCLLCT,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTNFB,LILLDPR,LILLDRC,LSUPPVRS
106704,2,-2,-2,2,488281.0,143169.0,37405.0,525686.0,0.0,1388422.0,1.0,345789.0,346036.0,719293.0,16200.0,1081529.0,12164.0,1285000.0,1297164.0,3767115.0,2781.0,3197.0,1
106713,2,-2,-2,2,54836.0,107.0,1726.0,56562.0,0.0,87880.0,2.0,,27387.0,87799.0,0.0,115186.0,0.0,4523.0,4523.0,207589.0,175.0,33.0,1
106795,1,-2,-2,2,7503.0,0.0,3362.0,10865.0,0.0,72984.0,1.0,,8245.0,12874.0,0.0,21119.0,0.0,10302.0,10302.0,104405.0,33.0,7.0,1
106883,2,-2,-2,2,31467.0,4076.0,1565.0,33032.0,0.0,,1.0,,42000.0,18640.0,175.0,60815.0,0.0,17135.0,17135.0,233728.0,4.0,27.0,1
106980,2,-2,-2,2,25428.0,19751.0,1424.0,26852.0,0.0,201331.0,1.0,,44231.0,29000.0,3575.0,76806.0,0.0,219200.0,219200.0,497337.0,18.0,17.0,1
106999,1,-2,-2,2,13300.0,8000.0,1766.0,15066.0,0.0,85980.0,1.0,,14000.0,13500.0,0.0,27500.0,0.0,17800.0,17800.0,131280.0,7.0,48.0,1
107044,1,-2,-2,2,146944.0,7266.0,11065.0,158009.0,1.0,,2.0,,92349.0,338281.0,6400.0,437030.0,8418.0,81577.0,89995.0,1085396.0,3380.0,2602.0,1
107071,1,-2,-2,2,268954.0,47500.0,20618.0,289572.0,0.0,572369.0,1.0,196409.0,71551.0,397701.0,441.0,469693.0,1777.0,80333.0,82110.0,1124172.0,2445.0,833.0,2
107080,2,-2,-2,2,229216.0,555.0,2986.0,232202.0,0.0,,2.0,,280000.0,221200.0,2800.0,504000.0,500.0,42800.0,43300.0,951848.0,1581.0,1580.0,1
107141,1,-2,-2,2,113066.0,10177.0,5388.0,118454.0,2.0,353450.0,2.0,0.0,39066.0,94768.0,13224.0,147058.0,1976.0,30330.0,32306.0,532814.0,1098.0,4610.0,1
